MCC,Название,Группа
7933,Боулинг-клубы,Развлечения
7941,"Атлетические поля, коммерческие виды спорта, профессиональные спортивные клубы, промоутеры спорта",Развлечения
7991,Туристические аттракционы и шоу,Развлечения
7992,Публичные поля для гольфа,Развлечения
7993,Принадлежности для видеоигр,Развлечения
7994,Галереи/учреждения видеоигр,Развлечения
7995,Транзакции по азартным играм,Развлечения
7996,"Парки аттракционов, карнавалы, цирки, гадалки",Развлечения
7997,"Клубы – загородные клубы, членство (отдых, спорт), частные поля для гольфа",Развлечения
7998,"Аквариумы, дельфинарии, зоопарки и морские парки",Развлечения
7999,Услуги отдыха — нигде более не классифицированные,Развлечения
8011,Доктора — нигде более не классифицированные,Профессиональные услуги
8021,"Дантисты, ортодантисты",Профессиональные услуги
8031,Остеопаты,Профессиональные услуги
8041,Хиропрактики,Профессиональные услуги
8042,"Оптометристы, офтальмологи",Профессиональные услуги
8043,"Оптика, оптические товары и очки",Профессиональные услуги
8044,"Оптика, оптические товары и очки",Профессиональные услуги
8049,Ортопеды,Профессиональные услуги
8050,Услуги персонального ухода,Профессиональные услуги
8062,Больницы,Профессиональные услуги
8071,Стоматологические и медицинские лаборатории,Профессиональные услуги
8099,"Медицинские работники, медицинские услуги – нигде более не классифицированные",Профессиональные услуги
8111,"Адвокаты, юридические услуги",Профессиональные услуги
8211,Школы: начальная и средняя,Профессиональные услуги
8220,"Колледжи, университеты",Профессиональные услуги
8241,Дистанционные школы,Профессиональные услуги
8244,Бизнес / секретарские школы,Профессиональные услуги
8249,Профессиональные / торговые школы,Профессиональные услуги
8299,Образовательные услуги,Профессиональные услуги
8351,Дошкольные заведения,Профессиональные услуги
8398,Благотворительные и общественные службы - сбор средств,Членские организации
8641,"Гражданские, социальные и братские ассоциации",Членские организации
8651,Политические организации,Членские организации
8661,Религиозные организации,Членские организации
8664,Категория неизвестна,
8675,Автомобильные ассоциации,Членские организации
8699,Членские организации – нигде более не классифицированные,Членские организации
8734,Испытательные лаборатории (немедицинские),Бизнес услуги
8911,"Архитектурные, инженерные и геодезические услуги",Бизнес услуги
8931,"Бухгалтерский учет, аудит и бухгалтерские услуги",Бизнес услуги
8999,Профессиональные услуги - нигде более не классифицированные,Бизнес услуги
9034,I-Purchasing Pilot,Государственные услуги
9211,"Судебные выплаты, включая алименты и детскую поддержку",Государственные услуги
9222,Штрафы,Государственные услуги
9223,Платежи по залогам и облигациям,Государственные услуги
9311,Налоговые платежи,Государственные услуги
9399,Правительственные услуги - нигде более не классифицированные,Государственные услуги
9401,I-Purchasing Pilot,Государственные услуги
9402,Почтовые услуги (только правительственные),Государственные услуги
9405,Внутриправительственные закупки - только правительственные,Государственные услуги
9411,Платежи по государственному займу,Государственные услуги
9700,Automated Referral Service (только VISA),
9701,Служба проверки учетных данных Visa (только VISA),
9702,Аварийные службы (GCAS) (только VISA),
9751,Великобритания. Универсамы. Электронный Горячий Файл,Оптовые поставщики и производители
9752,Британские Бензозаправочные станции. Электронный Горячий Файл,Оптовые поставщики и производители
9754,Лошадиные / собачьи бега (только США),Государственные услуги
9950,Покупки внутри компании,
9999,Категория неизвестна,
